date,close
2014-04-02,13.74
2014-04-03,13.75
2014-04-04,13.8
2014-04-08,14.16
2014-04-09,14.07
2014-04-10,14.81
2014-04-11,14.74
2014-04-14,14.56
2014-04-15,14.24
2014-04-16,14.26
2014-04-17,14.17
2014-04-18,14.18
2014-04-21,13.96
2014-04-22,14.07
2014-04-23,13.95
2014-04-24,13.91
2014-04-25,13.83
2014-04-28,13.44
2014-04-29,13.49
2014-04-30,13.61
2014-05-05,13.54
2014-05-06,13.51
2014-05-07,13.5
2014-05-08,13.45
2014-05-09,13.46
2014-05-12,13.85
2014-05-13,13.71
2014-05-14,13.79
2014-05-15,13.71
2014-05-16,13.66
2014-05-19,13.42
2014-05-20,13.55
2014-05-21,13.67
2014-05-22,13.69
2014-05-23,13.8
2014-05-26,13.79
2014-05-27,13.76
2014-05-28,13.96
2014-05-29,14.04
2014-05-30,14.0
2014-06-03,14.02
2014-06-04,13.88
2014-06-05,14.21
2014-06-06,14.18
2014-06-09,14.28
2014-06-10,14.46
2014-06-11,14.39
2014-06-12,14.29
2014-06-13,14.46
2014-06-16,14.55
2014-06-17,14.25
2014-06-18,14.07
2014-06-19,13.88
2014-06-20,14.05
2014-06-23,13.85
2014-06-24,13.9
2014-06-25,13.51
2014-06-26,13.6
2014-06-27,13.49
2014-06-30,13.61
2014-07-01,13.62
2014-07-02,13.67
2014-07-03,13.68
2014-07-04,13.76
2014-07-07,13.9
2014-07-08,13.88
2014-07-09,13.71
2014-07-10,13.66
2014-07-11,13.67
2014-07-14,13.84
2014-07-15,13.82
2014-07-16,13.78
2014-07-17,13.67
2014-07-18,13.67
2014-07-21,13.7
2014-07-22,13.89
2014-07-23,14.1
2014-07-24,14.36
2014-07-25,14.41
2014-07-28,14.84
2014-07-29,14.95
2014-07-30,14.96
2014-07-31,15.15
2014-08-01,15.07
2014-08-04,15.56
2014-08-05,15.37
2014-08-06,15.19
2014-08-07,14.97
2014-08-08,14.92
2014-08-11,15.29
2014-08-12,15.15
2014-08-13,15.35
2014-08-14,15.03
2014-08-15,15.32
2014-08-18,15.37
2014-08-19,15.33
2014-08-20,15.17
2014-08-21,15.01
2014-08-22,15.03
2014-08-25,14.92
2014-08-26,14.77
2014-08-27,14.79
2014-08-28,14.86
2014-08-29,14.96
2014-09-01,15.04
2014-09-02,15.16
2014-09-03,15.38
2014-09-04,15.91
2014-09-05,15.9
2014-09-09,15.89
2014-09-10,15.73
2014-09-11,15.56
2014-09-12,15.69
2014-09-15,15.56
2014-09-16,15.29
2014-09-17,15.39
2014-09-18,15.42
2014-09-19,15.56
2014-09-22,15.18
2014-09-23,15.27
2014-09-24,15.61
2014-09-25,15.62
2014-09-26,15.76
2014-09-29,15.63
2014-09-30,15.55
2014-10-08,15.59
2014-10-09,15.7
2014-10-10,15.52
2014-10-13,15.2
2014-10-14,15.2
2014-10-15,15.44
2014-10-16,15.39
2014-10-17,15.28
2014-10-20,15.29
2014-10-21,15.18
2014-10-22,15.27
2014-10-23,15.12
2014-10-24,15.28
2014-10-27,14.84
2014-10-28,15.04
2014-10-29,15.43
2014-10-30,15.43
2014-10-31,16.16
2014-11-03,15.95
2014-11-04,15.84
2014-11-05,15.89
2014-11-06,15.78
2014-11-07,15.89
2014-11-10,16.53
2014-11-11,16.62
2014-11-12,16.78
2014-11-13,17.01
2014-11-14,16.98
2014-11-17,16.52
2014-11-18,16.24
2014-11-19,16.16
2014-11-20,16.67
2014-11-21,17.22
2014-11-24,18.61
2014-11-25,18.9
2014-11-26,20.76
2014-11-27,21.98
2014-11-28,22.6
2014-12-01,21.79
2014-12-02,23.57
2014-12-03,23.15
2014-12-04,25.4
2014-12-05,25.82
2014-12-08,27.28
2014-12-09,24.55
2014-12-10,24.15
2014-12-11,22.79
2014-12-12,23.17
2014-12-15,23.34
2014-12-16,25.09
2014-12-17,25.4
2014-12-18,25.55
2014-12-19,25.02
2014-12-22,25.56
2014-12-23,26.84
2014-12-24,25.34
2014-12-25,27.87
2014-12-26,30.66
2014-12-29,33.73
2014-12-30,34.03
2014-12-31,34.15
2015-01-05,34.09
2015-01-05,34.09
2015-01-06,32.4
2015-01-06,32.4
2015-01-07,33.06
2015-01-07,33.06
2015-01-08,31.98
2015-01-08,31.98
2015-01-09,33.88
2015-01-09,33.88
2015-01-12,34.82
2015-01-12,34.82
2015-01-13,34.09
2015-01-13,34.09
2015-01-14,32.93
2015-01-14,32.93
2015-01-15,36.19
2015-01-15,36.19
2015-01-16,36.8
2015-01-16,36.8
2015-01-19,33.12
2015-01-19,33.12
2015-01-20,34.4
2015-01-20,34.4
2015-01-21,37.84
2015-01-21,37.84
2015-01-22,39.23
2015-01-22,39.23
2015-01-23,40.24
2015-01-23,40.24
2015-01-26,39.61
2015-01-26,39.61
2015-01-27,40.63
2015-01-27,40.63
2015-01-28,38.9
2015-01-28,38.9
2015-01-29,38.0
2015-01-29,38.0
2015-01-30,36.08
2015-01-30,36.08
2015-02-02,33.68
2015-02-02,33.68
2015-02-03,36.72
2015-02-03,36.72
2015-02-04,36.09
2015-02-04,36.09
2015-02-05,35.24
2015-02-05,35.24
2015-02-06,34.82
2015-02-06,34.82
2015-02-09,36.88
2015-02-09,36.88
2015-02-10,37.3
2015-02-10,37.3
2015-02-11,38.34
2015-02-11,38.34
2015-02-12,38.76
2015-02-12,38.76
2015-02-13,38.13
2015-02-13,38.13
2015-02-16,37.94
2015-02-16,37.94
2015-02-17,38.36
2015-02-17,38.36
2015-02-25,36.65
2015-02-25,36.65
2015-02-26,37.88
2015-02-26,37.88
2015-02-27,37.46
2015-02-27,37.46
2015-03-02,37.24
2015-03-02,37.24
2015-03-03,35.61
2015-03-03,35.61
2015-03-04,35.65
2015-03-04,35.65
2015-03-05,35.11
2015-03-05,35.11
2015-03-06,34.92
2015-03-06,34.92
2015-03-09,35.95
2015-03-09,35.95
2015-03-10,35.14
2015-03-10,35.14
2015-03-11,35.54
2015-03-11,35.54
2015-03-12,37.12
2015-03-12,37.12
2015-03-13,36.67
2015-03-13,36.67
2015-03-16,37.77
2015-03-16,37.77
2015-03-17,37.51
2015-03-17,37.51
2015-03-18,37.99
2015-03-18,37.99
2015-03-19,36.93
2015-03-19,36.93
2015-03-20,37.73
2015-03-20,37.73
2015-03-23,38.45
2015-03-23,38.45
2015-03-24,37.48
2015-03-24,37.48
2015-03-25,36.26
2015-03-25,36.26
2015-03-26,36.45
2015-03-26,36.45
2015-03-27,36.27
2015-03-27,36.27
2015-03-30,37.25
2015-03-30,37.25
2015-03-31,37.05
2015-03-31,37.05
